id_zamowienie;id_produkt;id_pracownik;id_klient;data_zakupu;uwagi
134;206;37;288;12.06.2020;brak
135;201;95;295;17.05.2020;brak
136;118;108;476;08.12.2020;brak
137;168;102;118;24.08.2020;brak
138;334;180;263;18.06.2020;brak
139;374;138;88;20.03.2021;brak
140;334;153;302;12.01.2021;brak
141;38;198;173;26.02.2021;brak
142;49;137;89;01.08.2020;brak
143;87;139;309;26.10.2020;brak
144;93;25;87;27.03.2021;brak
145;185;207;28;05.06.2020;brak
146;25;298;280;13.06.2020;brak
147;449;201;403;24.05.2020;brak
148;282;70;137;04.09.2020;brak
149;298;265;65;01.01.2021;brak
150;126;153;478;19.05.2020;brak
151;255;122;17;10.10.2020;brak
152;32;257;69;03.02.2021;brak
153;249;244;15;29.07.2020;brak
154;358;232;430;17.09.2020;brak
155;431;190;89;23.12.2020;brak
156;306;46;396;23.04.2021;brak
157;346;183;274;06.11.2020;brak
158;167;80;376;12.09.2020;brak
159;411;24;292;01.08.2020;brak
160;152;270;106;08.04.2021;brak
161;362;7;400;03.12.2020;brak
162;427;32;89;14.11.2020;brak
163;380;129;157;18.01.2021;brak
164;425;53;395;10.01.2021;brak
165;45;160;20;15.06.2020;brak
166;119;245;335;24.08.2020;brak
167;36;23;445;29.09.2020;brak
168;399;205;91;20.09.2020;brak
169;214;283;309;17.09.2020;brak
170;103;73;281;21.04.2021;brak
171;9;112;346;06.05.2020;brak
172;152;185;475;06.11.2020;brak
173;205;65;300;09.01.2021;brak
174;436;245;82;24.08.2020;brak
175;36;145;490;25.05.2020;brak
176;335;269;146;23.09.2020;brak
177;459;265;115;28.02.2021;brak
178;86;295;310;27.06.2020;brak
179;483;223;389;04.01.2021;brak
180;204;188;411;08.01.2021;brak
181;449;57;177;07.07.2020;brak
182;212;287;343;29.10.2020;brak
183;14;90;331;02.08.2020;brak
184;366;110;47;04.10.2020;brak
185;133;139;275;11.01.2021;brak
186;209;124;137;20.05.2020;brak
187;80;189;417;18.09.2020;brak
188;74;281;11;30.09.2020;brak
189;410;196;500;26.11.2020;brak
190;318;227;429;06.03.2021;brak
191;214;96;406;04.01.2021;brak
192;275;258;202;19.07.2020;brak
193;318;178;52;28.04.2021;brak
194;379;222;442;03.06.2020;brak
195;382;119;264;23.03.2021;brak
196;356;122;176;10.05.2020;brak
197;72;88;312;14.09.2020;brak
198;405;144;136;03.03.2021;brak
199;471;125;308;22.05.2020;brak
200;12;253;32;21.03.2021;brak
201;450;24;126;17.02.2021;brak
202;96;85;355;28.01.2021;brak
203;162;183;199;02.04.2021;brak
204;221;50;489;08.05.2020;brak
205;1;242;171;18.10.2020;brak
206;483;21;253;01.09.2020;brak
207;3;261;15;29.03.2021;brak
208;242;124;343;03.02.2021;brak
209;477;59;190;08.06.2020;brak
210;15;268;157;03.04.2021;brak
211;427;72;40;15.06.2020;brak
212;7;300;356;28.11.2020;brak
213;392;19;344;12.01.2021;brak
214;422;265;201;05.07.2020;brak
215;165;122;494;30.10.2020;brak
216;274;166;69;16.09.2020;brak
217;131;237;36;14.05.2020;brak
218;102;201;408;29.01.2021;brak
219;443;55;41;22.10.2020;brak
220;76;93;152;06.03.2021;brak
221;414;38;177;12.03.2021;brak
222;62;285;332;28.12.2020;brak
223;7;285;31;31.03.2021;brak
224;57;216;315;26.01.2021;brak
225;16;190;467;19.10.2020;brak
226;31;253;206;30.04.2021;brak
227;304;242;349;03.04.2021;brak
228;165;140;446;20.04.2021;brak
229;153;292;120;20.07.2020;brak
230;275;230;416;07.06.2020;brak
231;168;265;141;16.04.2021;brak
232;54;262;498;01.04.2021;brak
233;159;37;208;30.03.2021;brak
234;154;299;94;10.05.2020;brak
235;37;99;474;26.12.2020;brak
236;465;142;261;02.10.2020;brak
237;499;292;10;17.05.2020;brak
238;140;283;118;05.08.2020;brak
239;403;102;66;12.02.2021;brak
240;333;104;477;07.04.2021;brak
241;428;70;68;23.09.2020;brak
242;159;235;228;28.11.2020;brak
243;412;202;359;30.12.2020;brak
244;244;179;123;04.02.2021;brak
245;459;50;125;16.09.2020;brak
246;314;177;335;20.06.2020;brak
247;223;261;29;08.09.2020;brak
248;218;7;260;12.03.2021;brak
249;98;152;194;12.06.2020;brak
250;19;191;169;26.08.2020;brak
251;177;238;121;14.09.2020;brak
252;141;185;133;24.10.2020;brak
253;362;243;393;13.11.2020;brak
254;492;62;319;13.01.2021;brak
255;221;52;139;17.02.2021;brak
256;132;203;430;27.07.2020;brak
257;26;16;60;15.08.2020;brak
258;432;260;29;06.11.2020;brak
259;318;231;102;09.09.2020;brak
260;283;231;395;07.05.2020;brak
261;192;288;134;06.12.2020;brak
262;68;31;486;20.04.2021;brak
263;46;136;361;09.06.2020;brak
264;84;263;212;02.11.2020;brak
265;443;52;246;27.09.2020;brak
266;183;237;392;01.02.2021;brak
267;495;285;471;30.11.2020;brak
268;295;264;88;06.05.2020;brak
269;286;254;470;02.01.2021;brak
270;161;289;78;23.01.2021;brak
271;164;34;185;30.07.2020;brak
272;204;36;476;11.06.2020;brak
273;405;94;324;23.08.2020;brak
274;150;64;188;14.03.2021;brak
275;483;93;111;02.04.2021;brak
276;171;10;450;19.02.2021;brak
277;113;123;38;16.08.2020;brak
278;237;26;170;23.04.2021;brak
279;221;196;131;23.04.2021;brak
280;117;195;324;09.04.2021;brak
281;106;156;315;12.02.2021;brak
282;170;105;192;28.05.2020;brak
283;292;2;221;20.07.2020;brak
284;3;249;112;24.06.2020;brak
285;182;258;375;30.06.2020;brak
286;415;213;413;24.10.2020;brak
287;51;140;484;25.01.2021;brak
288;236;71;333;08.09.2020;brak
289;13;264;481;18.08.2020;brak
290;235;74;469;21.09.2020;brak
291;163;81;389;14.01.2021;brak
292;409;291;245;12.04.2021;brak
293;33;242;468;28.12.2020;brak
294;457;294;306;08.09.2020;brak
295;356;284;274;10.01.2021;brak
296;150;67;407;06.04.2021;brak
297;34;296;8;15.08.2020;brak
298;116;289;494;13.01.2021;brak
299;17;155;129;22.03.2021;brak
300;204;95;287;30.04.2021;brak
301;79;277;392;13.04.2021;brak
302;111;214;251;28.10.2020;brak
303;431;232;140;18.02.2021;brak
304;266;226;217;07.02.2021;brak
305;187;101;147;19.01.2021;brak
306;302;89;332;15.10.2020;brak
307;324;36;271;04.08.2020;brak
308;240;109;258;05.03.2021;brak
309;493;114;135;05.07.2020;brak
310;55;222;76;13.04.2021;brak
311;226;4;44;07.10.2020;brak
312;60;101;387;18.05.2020;brak
313;302;238;110;01.10.2020;brak
314;70;34;205;08.10.2020;brak
315;266;290;45;03.05.2021;brak
316;326;234;313;07.06.2020;brak
317;334;103;406;30.11.2020;brak
318;390;133;40;09.12.2020;brak
319;307;220;359;08.03.2021;brak
320;191;42;359;17.07.2020;brak
321;36;241;162;10.04.2021;brak
322;382;165;345;25.10.2020;brak
323;23;29;53;08.10.2020;brak
324;453;231;116;05.02.2021;brak
325;45;95;457;18.02.2021;brak
326;36;49;73;22.11.2020;brak
327;64;197;39;07.03.2021;brak
328;430;1;367;16.06.2020;brak
329;253;158;42;16.08.2020;brak
330;394;11;329;01.09.2020;brak
331;206;178;208;22.08.2020;brak
332;162;259;110;03.08.2020;brak
333;234;255;432;17.09.2020;brak
334;374;150;223;03.08.2020;brak
335;62;1;273;14.01.2021;brak
336;82;131;186;13.08.2020;brak
337;413;150;208;24.03.2021;brak
338;313;120;85;26.12.2020;brak
339;275;16;177;05.01.2021;brak
340;500;295;469;13.12.2020;brak
341;228;178;202;05.03.2021;brak
342;499;235;254;24.10.2020;brak
343;461;27;214;16.01.2021;brak
344;102;248;273;25.12.2020;brak
345;461;237;228;12.05.2020;brak
346;282;114;83;25.11.2020;brak
347;193;58;467;22.09.2020;brak
348;76;96;13;27.02.2021;brak
349;217;47;338;16.12.2020;brak
350;289;229;293;31.07.2020;brak
351;224;135;466;03.11.2020;brak
352;142;68;417;13.07.2020;brak
353;414;152;363;30.09.2020;brak
354;407;38;214;26.05.2020;brak
355;79;282;389;16.04.2021;brak
356;256;196;292;05.09.2020;brak
357;285;112;55;09.09.2020;brak
358;1;167;418;27.09.2020;brak
359;342;269;80;08.09.2020;brak
360;441;217;124;27.07.2020;brak
361;364;81;394;19.05.2020;brak
362;270;67;75;12.06.2020;brak
363;398;47;102;23.09.2020;brak
364;296;220;188;02.10.2020;brak
365;289;48;208;07.01.2021;brak
366;221;299;471;01.07.2020;brak
367;225;12;326;04.04.2021;brak
368;43;239;277;13.05.2020;brak
369;483;296;278;23.08.2020;brak
370;350;101;358;23.12.2020;brak
371;122;36;425;17.03.2021;brak
372;55;38;337;20.06.2020;brak
373;278;110;109;20.11.2020;brak
374;231;206;490;21.05.2020;brak
375;348;215;129;03.04.2021;brak
376;293;170;119;07.05.2020;brak
377;468;205;189;27.03.2021;brak
378;413;66;351;11.04.2021;brak
379;130;192;198;26.01.2021;brak
380;328;210;277;18.09.2020;brak
381;151;175;456;27.06.2020;brak
382;116;56;255;17.08.2020;brak
383;437;24;472;09.07.2020;brak
384;106;209;222;17.05.2020;brak
385;92;20;39;11.11.2020;brak
386;187;26;479;04.03.2021;brak
387;383;50;92;26.08.2020;brak
388;88;59;94;30.12.2020;brak
389;169;157;384;28.03.2021;brak
390;353;199;473;02.04.2021;brak
391;34;14;87;12.01.2021;brak
392;19;179;156;22.04.2021;brak
393;137;111;134;20.03.2021;brak
394;493;62;84;26.02.2021;brak
395;36;37;455;08.01.2021;brak
396;486;82;49;25.01.2021;brak
397;288;150;32;23.05.2020;brak
398;106;150;295;03.06.2020;brak
399;436;194;315;31.12.2020;brak
400;454;164;29;30.01.2021;brak
401;167;95;472;23.10.2020;brak
402;197;47;232;17.07.2020;brak
403;163;109;188;10.07.2020;brak
404;418;96;491;02.10.2020;brak
405;320;120;67;31.03.2021;brak
406;414;70;390;12.01.2021;brak
407;134;112;294;30.11.2020;brak
408;295;82;409;12.03.2021;brak
409;397;169;240;04.05.2020;brak
410;213;214;44;24.10.2020;brak
411;106;15;236;07.04.2021;brak
412;180;66;305;22.06.2020;brak
413;387;13;353;24.10.2020;brak
414;478;149;226;25.10.2020;brak
415;52;262;17;23.10.2020;brak
416;113;172;273;06.12.2020;brak
417;86;244;410;05.12.2020;brak
418;449;84;34;01.10.2020;brak
419;226;100;463;21.04.2021;brak
420;438;138;365;23.05.2020;brak
421;428;163;470;02.05.2021;brak
422;70;63;437;18.02.2021;brak
423;300;16;334;28.09.2020;brak
424;288;113;139;17.11.2020;brak
425;126;151;236;01.02.2021;brak
426;116;162;245;20.09.2020;brak
427;315;297;457;20.09.2020;brak
428;219;107;206;17.03.2021;brak
429;225;134;42;26.08.2020;brak
430;257;24;269;15.01.2021;brak
431;359;117;289;22.04.2021;brak
432;455;241;397;25.03.2021;brak
433;222;6;236;27.08.2020;brak
434;90;114;101;25.11.2020;brak
435;338;189;371;13.11.2020;brak
436;251;207;129;09.08.2020;brak
437;186;118;6;16.10.2020;brak
438;401;219;177;16.08.2020;brak
439;12;109;440;15.01.2021;brak
440;50;29;390;24.02.2021;brak
441;187;269;494;14.08.2020;brak
442;67;98;289;05.03.2021;brak
443;386;290;301;03.10.2020;brak
444;430;279;399;05.03.2021;brak
445;447;4;447;21.03.2021;brak
446;335;104;90;12.01.2021;brak
447;342;143;199;20.11.2020;brak
448;365;109;179;05.05.2020;brak
449;272;274;430;13.05.2020;brak
450;444;44;189;06.09.2020;brak
451;304;113;214;06.09.2020;brak
452;483;240;398;29.09.2020;brak
453;428;294;407;13.01.2021;brak
454;77;9;200;19.09.2020;brak
455;10;19;90;28.06.2020;brak
456;295;299;211;08.05.2020;brak
457;484;252;37;12.12.2020;brak
458;382;87;310;11.11.2020;brak
459;330;134;259;12.11.2020;brak
460;264;24;140;29.09.2020;brak
461;394;7;105;08.08.2020;brak
462;449;82;156;11.07.2020;brak
463;52;142;405;07.08.2020;brak
464;453;150;41;02.10.2020;brak
465;343;129;290;12.03.2021;brak
466;477;272;295;14.09.2020;brak
467;132;12;301;13.10.2020;brak
468;254;223;104;01.09.2020;brak
469;33;289;89;04.07.2020;brak
470;207;151;466;11.01.2021;brak
471;345;167;312;03.08.2020;brak
472;257;131;303;21.05.2020;brak
473;264;8;267;20.06.2020;brak
474;413;132;452;02.02.2021;brak
475;278;233;483;26.02.2021;brak
476;339;179;362;06.11.2020;brak
477;143;98;218;03.07.2020;brak
478;499;18;355;15.08.2020;brak
479;346;106;164;31.01.2021;brak
480;310;223;279;26.02.2021;brak
481;279;280;7;16.03.2021;brak
482;466;146;399;08.10.2020;brak
483;217;175;47;30.05.2020;brak
484;251;260;460;02.07.2020;brak
485;480;103;392;03.07.2020;brak
486;473;170;225;06.03.2021;brak
487;272;97;91;24.08.2020;brak
488;243;144;441;01.04.2021;brak
489;156;152;90;07.03.2021;brak
490;297;44;228;21.01.2021;brak
491;322;100;342;23.12.2020;brak
492;434;144;232;04.03.2021;brak
493;49;177;98;09.01.2021;brak
494;207;32;77;15.02.2021;brak
495;396;201;341;16.04.2021;brak
496;167;217;288;22.01.2021;brak
497;338;156;2;03.08.2020;brak
498;289;93;481;08.12.2020;brak
499;83;72;51;12.02.2021;brak
500;93;229;47;24.09.2020;brak
501;361;237;212;04.07.2020;brak
502;361;248;369;20.05.2020;brak
503;118;290;21;04.05.2020;brak
504;114;54;176;11.03.2021;brak
505;5;164;182;10.02.2021;brak
506;477;197;112;21.10.2020;brak
507;33;89;12;21.01.2021;brak
508;452;196;167;10.11.2020;brak
509;172;29;154;25.08.2020;brak
510;311;206;209;23.01.2021;brak
511;309;120;163;07.10.2020;brak
512;176;101;292;11.04.2021;brak
513;247;296;197;17.02.2021;brak
514;423;119;498;02.09.2020;brak
515;201;297;175;02.10.2020;brak
516;366;165;461;29.03.2021;brak
517;273;286;162;15.07.2020;brak
518;264;9;212;08.01.2021;brak
519;400;130;410;26.04.2021;brak
520;167;184;294;27.01.2021;brak
521;209;200;41;28.01.2021;brak
522;42;250;146;29.06.2020;brak
523;325;28;201;01.02.2021;brak
524;88;155;255;14.09.2020;brak
525;76;44;192;18.03.2021;brak
526;123;123;131;23.05.2020;brak
527;478;213;386;31.08.2020;brak
528;141;245;290;02.01.2021;brak
529;432;34;89;10.04.2021;brak
530;340;66;88;18.09.2020;brak
531;68;126;45;05.10.2020;brak
532;254;289;380;28.11.2020;brak
533;257;35;190;29.06.2020;brak
534;391;231;279;20.06.2020;brak
535;469;161;266;09.01.2021;brak
536;188;61;264;29.08.2020;brak
537;438;252;202;25.09.2020;brak
538;479;182;220;30.06.2020;brak
539;293;226;334;29.09.2020;brak
540;73;173;228;25.08.2020;brak
541;51;244;72;13.02.2021;brak
542;339;93;228;24.11.2020;brak
543;9;9;130;27.06.2020;brak
544;225;118;357;05.08.2020;brak
545;429;25;294;05.08.2020;brak
546;264;30;41;17.03.2021;brak
547;140;77;20;31.03.2021;brak
548;189;275;371;20.09.2020;brak
549;25;24;120;28.06.2020;brak
550;260;50;225;05.09.2020;brak
551;406;102;268;18.07.2020;brak
552;33;11;433;02.09.2020;brak
553;184;105;244;11.04.2021;brak
554;436;165;287;15.04.2021;brak
555;452;14;359;20.12.2020;brak
556;198;280;303;21.05.2020;brak
557;206;216;452;09.08.2020;brak
558;370;164;434;24.11.2020;brak
559;337;164;268;27.10.2020;brak
560;80;260;212;14.01.2021;brak
561;437;120;203;29.08.2020;brak
562;336;210;89;14.01.2021;brak
563;208;69;126;16.08.2020;brak
564;164;204;260;24.07.2020;brak
565;157;124;200;19.06.2020;brak
566;112;45;185;30.11.2020;brak
567;243;160;27;15.04.2021;brak
568;401;158;445;01.05.2021;brak
569;157;179;26;27.06.2020;brak
570;261;287;141;08.10.2020;brak
571;207;263;252;11.03.2021;brak
572;174;249;261;21.08.2020;brak
573;338;24;214;19.01.2021;brak
574;391;236;373;11.04.2021;brak
575;272;122;443;10.12.2020;brak
576;497;167;494;31.05.2020;brak
577;151;107;232;30.06.2020;brak
578;323;106;354;16.02.2021;brak
579;59;78;182;13.09.2020;brak
580;173;185;210;20.03.2021;brak
581;451;132;60;26.09.2020;brak
582;209;249;60;16.08.2020;brak
583;94;69;412;01.09.2020;brak
584;88;287;263;05.01.2021;brak
585;174;276;262;28.10.2020;brak
586;302;13;103;05.09.2020;brak
587;95;218;333;30.08.2020;brak
588;59;145;155;15.11.2020;brak
589;155;135;239;01.06.2020;brak
590;356;266;345;28.05.2020;brak
591;479;113;128;30.05.2020;brak
592;132;241;375;01.04.2021;brak
593;379;56;350;17.03.2021;brak
594;318;274;46;26.04.2021;brak
595;295;140;152;31.03.2021;brak
596;7;187;436;06.06.2020;brak
597;276;40;38;18.11.2020;brak
598;157;257;395;24.02.2021;brak
599;330;107;414;16.10.2020;brak
600;123;117;234;28.10.2020;brak
601;214;122;225;28.01.2021;brak
602;10;120;43;02.03.2021;brak
603;200;121;2;12.05.2020;brak
604;130;199;470;12.11.2020;brak
605;456;105;244;28.03.2021;brak
606;422;43;219;01.10.2020;brak
607;34;77;55;10.12.2020;brak
608;455;130;235;24.01.2021;brak
609;130;18;224;14.01.2021;brak
610;181;126;30;06.10.2020;brak
611;158;149;369;28.04.2021;brak
612;306;165;382;25.03.2021;brak
613;419;277;332;31.05.2020;brak
614;4;127;41;25.12.2020;brak
615;465;177;134;20.03.2021;brak
616;82;186;12;04.11.2020;brak
617;361;145;419;31.12.2020;brak
618;470;94;192;23.11.2020;brak
619;62;46;364;08.10.2020;brak
620;229;165;334;12.12.2020;brak
621;197;211;489;24.12.2020;brak
622;399;157;351;06.03.2021;brak
623;432;61;25;03.11.2020;brak
624;336;37;318;20.02.2021;brak
625;48;69;483;27.12.2020;brak
626;484;211;312;26.01.2021;brak
627;121;210;89;16.12.2020;brak
628;258;105;377;15.03.2021;brak
629;406;133;492;25.06.2020;brak
630;90;165;15;04.08.2020;brak
631;285;119;424;03.12.2020;brak
632;93;233;218;18.06.2020;brak
633;247;129;62;10.07.2020;brak
634;111;5;377;05.08.2020;brak
635;175;48;308;07.03.2021;brak
636;229;92;192;30.07.2020;brak
637;36;18;410;15.04.2021;brak
638;182;109;351;25.02.2021;brak
639;244;263;76;21.08.2020;brak
640;379;43;286;12.10.2020;brak
641;245;230;282;05.06.2020;brak
642;232;216;53;30.03.2021;brak
643;50;20;148;23.02.2021;brak
644;412;100;342;27.09.2020;brak
645;161;163;17;02.08.2020;brak
646;23;202;429;07.04.2021;brak
647;166;158;215;06.09.2020;brak
648;316;155;111;25.07.2020;brak
649;421;210;34;08.04.2021;brak
650;86;251;76;06.07.2020;brak
651;156;188;207;15.07.2020;brak
652;420;256;370;07.06.2020;brak
653;355;18;405;14.07.2020;brak
654;388;10;449;06.07.2020;brak
655;380;145;312;14.05.2020;brak
656;473;66;364;30.12.2020;brak
657;31;92;367;10.09.2020;brak
658;147;65;500;11.09.2020;brak
659;244;29;270;23.09.2020;brak
660;9;223;249;07.11.2020;brak
661;159;186;59;05.08.2020;brak
662;201;200;472;17.08.2020;brak
663;191;118;477;24.02.2021;brak
664;90;41;148;08.03.2021;brak
665;194;8;47;04.09.2020;brak
666;289;282;379;25.12.2020;brak
667;30;169;164;04.10.2020;brak
668;387;23;315;22.07.2020;brak
669;442;214;5;08.05.2020;brak
670;434;144;187;31.03.2021;brak
671;366;131;270;15.06.2020;brak
672;380;41;35;17.10.2020;brak
673;350;285;46;20.06.2020;brak
674;241;138;97;11.09.2020;brak
675;480;173;466;28.10.2020;brak
676;252;289;1;07.12.2020;brak
677;459;264;451;20.06.2020;brak
678;191;31;225;07.10.2020;brak
679;176;118;302;06.08.2020;brak
680;15;210;336;29.11.2020;brak
681;443;17;324;17.07.2020;brak
682;329;63;71;08.06.2020;brak
683;280;53;345;09.07.2020;brak
684;88;275;179;14.04.2021;brak
685;223;139;387;04.09.2020;brak
686;431;123;474;24.06.2020;brak
687;499;31;484;08.01.2021;brak
688;39;34;80;07.11.2020;brak
689;168;266;410;18.03.2021;brak
690;135;160;21;24.04.2021;brak
691;215;65;412;22.02.2021;brak
692;27;22;17;17.01.2021;brak
693;489;10;294;31.01.2021;brak
694;92;30;466;03.05.2021;brak
695;306;231;400;11.12.2020;brak
696;216;189;499;14.04.2021;brak
697;381;46;450;19.01.2021;brak
698;489;235;375;29.01.2021;brak
699;355;86;436;09.02.2021;brak
700;212;97;191;18.12.2020;brak
701;213;80;262;01.12.2020;brak
702;121;82;1;22.11.2020;brak
703;45;261;72;18.10.2020;brak
704;321;15;110;28.10.2020;brak
705;256;29;293;31.07.2020;brak
706;434;102;175;25.04.2021;brak
707;452;216;312;23.07.2020;brak
708;57;180;305;06.12.2020;brak
709;157;144;310;21.11.2020;brak
710;10;42;407;12.07.2020;brak
711;304;181;39;21.04.2021;brak
712;201;44;91;06.04.2021;brak
713;320;112;228;27.06.2020;brak
714;220;205;447;05.06.2020;brak
715;260;300;115;29.04.2021;brak
716;489;147;194;20.09.2020;brak
717;435;37;131;20.06.2020;brak
718;398;251;310;21.01.2021;brak
719;265;14;43;18.01.2021;brak
720;334;15;167;03.10.2020;brak
721;266;145;135;29.09.2020;brak
722;450;231;439;30.03.2021;brak
723;150;207;111;13.03.2021;brak
724;192;188;206;16.04.2021;brak
725;418;14;334;31.10.2020;brak
726;472;158;388;03.01.2021;brak
727;214;241;52;11.11.2020;brak
728;316;47;306;17.08.2020;brak
729;371;124;403;17.02.2021;brak
730;241;224;211;01.03.2021;brak
731;298;101;199;21.10.2020;brak
732;183;85;276;27.09.2020;brak
733;365;181;169;30.10.2020;brak
734;195;129;405;23.01.2021;brak
735;415;292;413;11.02.2021;brak
736;315;130;286;24.10.2020;brak
737;350;163;384;28.11.2020;brak
738;398;253;125;09.10.2020;brak
739;112;65;258;15.11.2020;brak
740;140;217;490;19.01.2021;brak
741;389;110;132;30.04.2021;brak
742;181;206;438;19.12.2020;brak
743;71;169;277;07.02.2021;brak
744;321;165;323;06.08.2020;brak
745;374;99;239;14.12.2020;brak
746;153;15;298;13.08.2020;brak
747;38;132;178;15.06.2020;brak
748;491;180;79;18.03.2021;brak
749;299;25;275;10.11.2020;brak
750;413;24;74;13.10.2020;brak
751;99;202;206;07.02.2021;brak
752;142;219;15;13.11.2020;brak
753;93;97;143;25.06.2020;brak
754;429;151;344;06.07.2020;brak
755;58;264;67;25.02.2021;brak
756;315;158;103;09.12.2020;brak
757;391;288;492;30.08.2020;brak
758;428;181;173;28.08.2020;brak
759;129;256;108;31.01.2021;brak
760;234;172;113;28.05.2020;brak
761;483;221;135;02.02.2021;brak
762;17;217;207;17.08.2020;brak
763;91;248;411;21.09.2020;brak
764;355;41;237;24.09.2020;brak
765;445;240;290;28.05.2020;brak
766;364;281;405;22.10.2020;brak
767;115;49;160;10.12.2020;brak
768;440;154;476;06.09.2020;brak
769;422;195;208;22.03.2021;brak
770;410;73;79;02.11.2020;brak
771;65;144;269;07.09.2020;brak
772;370;211;434;08.04.2021;brak
773;415;153;320;01.12.2020;brak
