id_sprzedaz;id_sklep;id_czas;id_zamowienie;koszt_calkowity;data_dostarczenia;kod
147;29;258;147;964;18.01.2021;
148;44;137;148;6805;18.07.2020;
149;4;94;149;6166;01.09.2020;
150;71;245;150;8721;06.10.2020;
151;62;164;151;4721;03.06.2020;
152;62;382;152;9499;01.11.2020;
153;42;46;153;7367;13.04.2021;
154;28;61;154;2458;01.05.2020;
155;13;410;155;1366;08.12.2020;
156;64;457;156;1191;02.05.2020;
157;86;77;157;8113;20.12.2020;
158;15;480;158;2961;08.09.2020;
159;55;187;159;8963;09.01.2021;
160;31;82;160;7631;25.08.2020;
161;11;488;161;6177;06.02.2021;
162;41;243;162;2396;17.08.2020;
163;13;62;163;2473;02.12.2020;
164;63;97;164;8782;13.02.2021;
165;52;215;165;8445;10.11.2020;
166;76;241;166;728;12.02.2021;
167;41;152;167;5193;23.05.2020;
168;41;240;168;7166;04.07.2020;
169;88;30;169;1196;06.11.2020;
170;13;472;170;2933;04.03.2021;
171;39;142;171;7635;06.07.2020;
172;52;143;172;161;21.08.2020;
173;70;394;173;7415;19.12.2020;
174;34;360;174;3711;23.06.2020;
175;57;38;175;6067;02.05.2020;
176;10;384;176;1481;05.09.2020;
177;89;325;177;3752;05.02.2021;
178;87;435;178;6486;28.11.2020;
179;61;362;179;6742;12.01.2021;
180;74;210;180;6113;11.03.2021;
181;7;251;181;459;05.01.2021;
182;93;50;182;7583;07.08.2020;
183;53;10;183;5033;30.11.2020;
184;40;427;184;3017;09.10.2020;
185;5;168;185;2569;18.10.2020;
186;59;95;186;6748;12.10.2020;
187;92;42;187;6992;01.02.2021;
188;41;96;188;6676;09.10.2020;
189;32;167;189;3635;17.01.2021;
190;10;221;190;3125;27.05.2020;
191;93;154;191;119;03.11.2020;
192;10;394;192;2894;28.06.2020;
193;98;318;193;1401;30.01.2021;
194;39;380;194;1602;28.06.2020;
195;46;194;195;3121;28.12.2020;
196;87;306;196;4552;17.11.2020;
197;32;236;197;9964;13.04.2021;
198;19;465;198;2568;23.04.2021;
199;43;159;199;1503;03.10.2020;
200;21;8;200;7404;03.07.2020;
201;34;120;201;2373;05.03.2021;
202;7;150;202;2973;02.09.2020;
203;76;393;203;4812;25.11.2020;
204;73;17;204;3685;12.11.2020;
205;23;421;205;8888;30.06.2020;
206;60;230;206;6435;14.10.2020;
207;21;213;207;3175;30.06.2020;
208;59;424;208;7432;17.12.2020;
209;9;303;209;4138;20.01.2021;
210;100;230;210;7222;19.05.2020;
211;62;267;211;6947;06.05.2020;
212;20;328;212;1752;23.08.2020;
213;83;285;213;7683;23.04.2021;
214;57;423;214;220;24.02.2021;
215;46;173;215;601;31.05.2020;
216;77;42;216;2267;06.02.2021;
217;48;208;217;4748;16.11.2020;
218;14;457;218;1342;25.05.2020;
219;63;126;219;9030;25.01.2021;
220;35;187;220;9164;23.12.2020;
221;39;459;221;1010;02.03.2021;
222;76;269;222;4187;09.07.2020;
223;41;205;223;8916;02.09.2020;
224;39;96;224;2841;30.01.2021;
225;94;251;225;4858;20.06.2020;
226;38;142;226;9001;04.10.2020;
227;14;391;227;8915;12.05.2020;
228;4;221;228;1142;08.03.2021;
229;53;467;229;6434;08.07.2020;
230;90;349;230;5921;16.11.2020;
231;98;415;231;5486;28.02.2021;
232;64;81;232;3677;20.07.2020;
233;60;360;233;9975;04.11.2020;
234;88;463;234;7385;19.07.2020;
235;3;172;235;7601;14.02.2021;
236;48;297;236;8160;23.10.2020;
237;50;122;237;2692;28.07.2020;
238;22;315;238;5319;17.11.2020;
239;97;347;239;4142;09.03.2021;
240;29;161;240;773;23.01.2021;
241;88;122;241;8395;15.07.2020;
242;72;207;242;1977;12.06.2020;
243;7;361;243;5896;29.10.2020;
244;80;430;244;1454;27.07.2020;
245;76;301;245;529;07.05.2020;
246;76;72;246;5895;17.04.2021;
247;55;153;247;3449;08.07.2020;
248;40;172;248;4612;09.07.2020;
249;27;306;249;7200;20.06.2020;
250;43;394;250;9597;06.12.2020;
251;50;444;251;1256;14.03.2021;
252;52;450;252;8145;21.07.2020;
253;47;16;253;8152;16.12.2020;
254;54;218;254;957;26.09.2020;
255;14;472;255;3562;27.08.2020;
256;22;369;256;5659;08.02.2021;
257;87;44;257;4669;06.10.2020;
258;27;67;258;5972;20.05.2020;
259;41;404;259;9942;16.09.2020;
260;94;47;260;5217;15.07.2020;
261;45;486;261;8021;27.04.2021;
262;19;404;262;1949;12.10.2020;
263;33;353;263;9483;23.01.2021;
264;2;494;264;8642;23.12.2020;
265;52;36;265;9170;25.11.2020;
266;75;146;266;2242;13.04.2021;
267;75;96;267;7205;23.01.2021;
268;60;278;268;5491;19.01.2021;
269;60;169;269;1365;11.08.2020;
270;99;120;270;1043;13.02.2021;
271;60;191;271;7239;10.08.2020;
272;20;63;272;4893;09.03.2021;
273;35;209;273;2966;06.11.2020;
274;53;323;274;4097;24.04.2021;
275;78;488;275;9309;30.11.2020;
276;9;458;276;877;01.04.2021;
277;47;98;277;8283;03.03.2021;
278;91;39;278;9039;11.06.2020;
279;33;245;279;1222;15.09.2020;
280;45;276;280;1999;01.06.2020;
281;41;4;281;569;25.02.2021;
282;32;57;282;2738;11.03.2021;
283;88;255;283;6336;17.10.2020;
284;30;257;284;1592;20.02.2021;
285;70;490;285;1175;25.05.2020;
286;51;16;286;898;29.05.2020;
287;17;219;287;4063;30.11.2020;
288;34;25;288;9726;04.04.2021;
289;96;354;289;8089;11.04.2021;
290;79;392;290;9679;07.12.2020;
291;52;330;291;8555;16.05.2020;
292;36;325;292;7723;04.10.2020;
293;14;241;293;942;24.07.2020;
294;96;313;294;542;11.04.2021;
295;85;48;295;156;15.12.2020;
296;96;135;296;158;12.11.2020;
297;5;192;297;335;28.02.2021;
298;34;80;298;588;02.11.2020;
299;84;165;299;5331;04.01.2021;
300;50;293;300;1744;24.02.2021;
301;57;26;301;9894;04.03.2021;
302;27;488;302;1683;04.02.2021;
303;52;384;303;6991;12.05.2020;
304;55;312;304;1303;29.05.2020;
305;71;338;305;2363;15.03.2021;
306;15;34;306;8571;09.05.2020;
307;28;140;307;575;14.05.2020;
308;67;374;308;9430;13.03.2021;
309;78;408;309;904;24.03.2021;
310;11;414;310;8587;14.01.2021;
311;1;364;311;9813;29.10.2020;
312;9;437;312;393;31.01.2021;
313;28;264;313;9937;01.04.2021;
314;76;115;314;4483;15.06.2020;
315;81;495;315;4490;30.01.2021;
316;53;260;316;8262;29.03.2021;
317;90;14;317;9661;01.09.2020;
318;66;443;318;7849;04.04.2021;
319;54;144;319;6343;12.11.2020;
320;66;5;320;464;09.09.2020;
321;42;310;321;6887;04.08.2020;
322;62;79;322;5093;29.01.2021;
323;53;424;323;4580;07.08.2020;
324;24;185;324;2789;17.12.2020;
325;2;118;325;8770;07.09.2020;
326;100;107;326;1898;01.09.2020;
327;44;411;327;7489;08.03.2021;
328;16;226;328;7402;15.04.2021;
329;72;275;329;7282;14.12.2020;
330;49;5;330;7183;02.06.2020;
331;56;392;331;8340;03.10.2020;
332;12;130;332;9023;09.07.2020;
333;18;439;333;1347;12.08.2020;
334;33;87;334;4037;17.08.2020;
335;17;333;335;7590;02.08.2020;
336;63;267;336;336;01.01.2021;
337;82;18;337;8086;04.04.2021;
338;90;58;338;5194;27.11.2020;
339;71;388;339;7396;22.06.2020;
340;92;298;340;5091;09.04.2021;
341;85;63;341;2042;09.10.2020;
342;73;40;342;9589;06.09.2020;
343;53;139;343;3903;02.03.2021;
344;30;420;344;9386;10.11.2020;
345;36;232;345;5532;22.07.2020;
346;17;328;346;2886;28.05.2020;
347;75;228;347;492;13.04.2021;
348;36;450;348;8897;21.07.2020;
349;77;4;349;4177;13.08.2020;
350;42;376;350;992;01.01.2021;
351;92;93;351;1556;11.10.2020;
352;68;234;352;7790;11.11.2020;
353;15;108;353;5505;06.12.2020;
354;31;95;354;3499;28.07.2020;
355;64;390;355;9978;14.12.2020;
356;37;342;356;1506;11.09.2020;
357;63;177;357;4025;08.09.2020;
358;63;451;358;9718;20.07.2020;
359;31;133;359;3246;03.08.2020;
360;95;439;360;355;13.11.2020;
361;93;88;361;5986;05.09.2020;
362;93;155;362;7856;21.07.2020;
363;99;451;363;2050;30.11.2020;
364;16;440;364;4216;29.05.2020;
365;73;45;365;2137;25.02.2021;
366;29;390;366;6771;09.07.2020;
367;74;225;367;4916;01.10.2020;
368;90;234;368;5696;04.05.2020;
369;17;16;369;6668;17.02.2021;
370;59;259;370;2350;14.06.2020;
371;97;337;371;2305;12.05.2020;
372;94;86;372;4598;22.09.2020;
373;36;337;373;145;26.10.2020;
374;74;177;374;9945;23.11.2020;
375;89;478;375;2287;26.04.2021;
376;30;317;376;2534;12.02.2021;
377;43;197;377;5003;20.05.2020;
378;46;152;378;2770;05.06.2020;
379;46;428;379;1350;08.08.2020;
380;67;365;380;572;08.09.2020;
381;63;249;381;4097;08.12.2020;
382;62;322;382;793;04.07.2020;
383;93;81;383;8058;02.06.2020;
384;61;431;384;3887;15.03.2021;
385;90;365;385;8274;29.12.2020;
386;73;51;386;309;01.09.2020;
387;72;211;387;4902;31.03.2021;
388;54;272;388;3179;19.07.2020;
389;77;120;389;8444;08.04.2021;
390;53;301;390;9098;15.06.2020;
391;34;382;391;5593;05.03.2021;
392;5;355;392;3371;26.03.2021;
393;6;89;393;7698;12.10.2020;
394;15;450;394;9233;21.02.2021;
395;66;232;395;7967;10.04.2021;
396;81;115;396;7917;13.07.2020;
397;39;418;397;9358;21.03.2021;
398;79;46;398;4693;20.10.2020;
399;53;392;399;300;27.03.2021;
400;78;25;400;4752;14.12.2020;
401;9;130;401;9281;19.04.2021;
402;78;93;402;2383;09.05.2020;
403;38;61;403;841;19.09.2020;
404;30;214;404;1049;23.01.2021;
405;30;30;405;1753;11.08.2020;
406;93;149;406;6027;08.06.2020;
407;49;314;407;9828;08.04.2021;
408;29;354;408;9994;22.02.2021;
409;48;277;409;7491;02.04.2021;
410;67;118;410;7265;07.01.2021;
411;6;291;411;8003;10.12.2020;
412;83;360;412;8966;05.05.2020;
413;66;362;413;6752;02.10.2020;
414;25;85;414;7881;13.02.2021;
415;92;246;415;1105;17.09.2020;
416;71;257;416;7008;19.07.2020;
417;53;378;417;3907;30.08.2020;
418;30;18;418;5590;20.10.2020;
419;41;198;419;1990;20.07.2020;
420;39;53;420;4459;16.09.2020;
421;53;272;421;4345;13.01.2021;
422;87;13;422;8326;13.09.2020;
423;25;185;423;7705;27.02.2021;
424;32;311;424;4307;23.12.2020;
425;96;74;425;5041;08.10.2020;
426;2;203;426;9571;20.09.2020;
427;16;386;427;2236;14.05.2020;
428;79;36;428;4144;26.09.2020;
429;70;28;429;7221;07.09.2020;
430;84;430;430;5725;01.06.2020;
431;59;208;431;775;31.01.2021;
432;37;194;432;6617;10.06.2020;
433;49;439;433;9417;17.07.2020;
434;26;150;434;5290;29.08.2020;
435;100;301;435;9065;19.08.2020;
436;87;107;436;5207;31.07.2020;
437;23;277;437;8987;10.03.2021;
438;97;309;438;4121;10.02.2021;
439;54;70;439;2120;15.10.2020;
440;25;275;440;5127;27.10.2020;
441;40;97;441;7094;06.11.2020;
442;72;206;442;4057;10.06.2020;
443;53;129;443;8251;30.10.2020;
444;87;155;444;3804;17.05.2020;
445;37;96;445;8693;28.06.2020;
446;96;476;446;489;16.11.2020;
447;17;3;447;4086;03.08.2020;
448;1;492;448;6099;18.05.2020;
449;8;493;449;6139;13.08.2020;
450;55;98;450;6022;07.02.2021;
451;62;312;451;9725;13.11.2020;
452;51;490;452;8173;23.04.2021;
453;74;365;453;7236;09.03.2021;
454;66;390;454;7693;21.12.2020;
455;1;179;455;4110;16.12.2020;
456;89;9;456;105;31.07.2020;
457;30;399;457;1146;10.09.2020;
458;28;309;458;4916;19.03.2021;
459;69;279;459;8719;18.09.2020;
460;42;175;460;9774;04.12.2020;
461;12;398;461;2561;28.11.2020;
462;75;437;462;5347;24.10.2020;
463;34;141;463;1916;15.06.2020;
464;62;466;464;104;15.02.2021;
465;58;298;465;5931;06.01.2021;
466;15;296;466;3916;09.07.2020;
467;7;29;467;3443;07.01.2021;
468;16;194;468;6877;06.10.2020;
469;71;280;469;7483;02.08.2020;
470;92;378;470;7509;13.02.2021;
471;100;391;471;233;12.08.2020;
472;95;28;472;779;06.12.2020;
473;69;360;473;1160;31.10.2020;
474;81;303;474;7871;22.07.2020;
475;80;53;475;7102;13.12.2020;
476;45;325;476;1203;31.08.2020;
477;21;206;477;2117;07.12.2020;
478;81;336;478;8631;14.01.2021;
479;79;334;479;7539;03.04.2021;
480;67;487;480;4153;08.01.2021;
481;27;189;481;5484;30.07.2020;
482;40;145;482;5189;21.01.2021;
483;91;262;483;1840;17.09.2020;
484;80;430;484;2246;26.11.2020;
485;36;300;485;5796;13.03.2021;
486;75;231;486;550;19.12.2020;
487;17;193;487;7078;27.07.2020;
488;46;15;488;5422;26.11.2020;
489;71;48;489;6650;27.07.2020;
490;8;258;490;392;10.12.2020;
491;26;215;491;2255;02.09.2020;
492;91;400;492;7874;15.01.2021;
493;99;270;493;3669;09.12.2020;
494;42;215;494;7810;09.08.2020;
495;19;381;495;3256;09.06.2020;
496;11;56;496;7111;15.05.2020;
497;95;256;497;7565;18.06.2020;
498;51;169;498;9192;14.12.2020;
499;12;285;499;3011;14.04.2021;
500;77;317;500;3746;06.09.2020;
501;16;368;501;3483;24.10.2020;
502;9;380;502;8246;08.06.2020;
503;18;461;503;9437;07.02.2021;
504;57;467;504;8294;26.11.2020;
505;27;425;505;8720;26.02.2021;
506;18;159;506;1779;13.07.2020;
507;3;302;507;9605;10.07.2020;
508;96;260;508;2551;15.09.2020;
509;39;106;509;7511;18.10.2020;
510;48;389;510;336;31.10.2020;
511;12;395;511;8686;26.11.2020;
512;34;446;512;9830;20.04.2021;
513;18;463;513;1670;09.03.2021;
514;30;407;514;3837;03.11.2020;
515;29;374;515;6880;22.05.2020;
516;7;488;516;9715;29.03.2021;
517;87;197;517;9897;04.02.2021;
518;8;90;518;2881;27.06.2020;
519;51;401;519;7710;03.03.2021;
520;4;425;520;9801;04.04.2021;
521;8;115;521;2807;04.09.2020;
522;82;185;522;5791;17.12.2020;
523;48;192;523;6696;05.01.2021;
524;23;470;524;1270;31.07.2020;
525;88;143;525;7671;04.07.2020;
526;23;401;526;1629;15.09.2020;
527;18;190;527;5623;16.09.2020;
528;46;303;528;5562;28.12.2020;
529;66;128;529;5639;23.09.2020;
530;31;272;530;6736;18.01.2021;
531;39;134;531;2943;07.02.2021;
532;39;335;532;2265;13.09.2020;
533;8;291;533;6663;02.07.2020;
534;17;244;534;4663;23.05.2020;
535;61;256;535;9978;26.06.2020;
536;22;495;536;4892;31.07.2020;
537;38;188;537;8259;09.12.2020;
538;97;121;538;6920;23.12.2020;
539;98;384;539;8844;30.08.2020;
540;9;337;540;8683;05.02.2021;
541;22;234;541;6920;13.09.2020;
542;63;125;542;9861;28.06.2020;
543;62;312;543;9547;30.11.2020;
544;21;158;544;7543;15.08.2020;
545;73;499;545;659;28.12.2020;
546;59;407;546;5114;24.07.2020;
547;26;335;547;8305;16.03.2021;
548;58;461;548;4379;15.12.2020;
549;32;281;549;9869;16.01.2021;
550;71;285;550;7289;17.07.2020;
551;72;189;551;6399;11.10.2020;
552;41;470;552;2738;09.09.2020;
553;72;361;553;4419;27.09.2020;
554;39;439;554;8551;12.04.2021;
555;81;370;555;7070;02.05.2020;
556;45;81;556;392;31.05.2020;
557;53;193;557;7500;12.08.2020;
558;59;380;558;3207;23.07.2020;
559;22;411;559;8441;12.10.2020;
560;41;311;560;5989;18.02.2021;
561;63;186;561;6498;10.06.2020;
562;2;159;562;7053;02.01.2021;
563;36;431;563;2793;02.07.2020;
564;24;385;564;3217;22.07.2020;
565;59;387;565;2436;01.09.2020;
566;94;341;566;7331;30.05.2020;
567;41;403;567;6754;08.11.2020;
568;52;60;568;1247;27.04.2021;
569;52;375;569;5818;05.06.2020;
570;80;364;570;4151;01.12.2020;
571;7;458;571;1959;24.09.2020;
572;90;470;572;9270;23.12.2020;
573;33;70;573;200;21.07.2020;
574;37;209;574;9025;21.11.2020;
575;36;273;575;6167;13.10.2020;
576;6;415;576;5785;09.10.2020;
577;100;490;577;116;26.05.2020;
578;37;288;578;7804;31.03.2021;
579;34;233;579;7631;11.09.2020;
580;93;259;580;8084;31.03.2021;
581;6;205;581;8042;18.03.2021;
582;53;326;582;173;14.11.2020;
583;11;451;583;3439;25.08.2020;
584;26;40;584;9524;05.12.2020;
585;99;295;585;7851;19.08.2020;
586;6;452;586;3359;03.02.2021;
587;27;322;587;9163;20.04.2021;
588;67;244;588;5326;06.07.2020;
589;21;465;589;2703;29.09.2020;
590;59;112;590;7844;26.12.2020;
591;44;329;591;4210;05.07.2020;
592;1;228;592;1600;01.06.2020;
593;55;484;593;1168;20.11.2020;
594;59;24;594;6513;16.12.2020;
595;72;70;595;7175;09.09.2020;
596;55;437;596;4242;08.05.2020;
597;17;477;597;6695;08.09.2020;
598;40;100;598;7182;05.04.2021;
599;20;288;599;3313;18.12.2020;
600;41;336;600;1079;11.07.2020;
601;35;161;601;5907;08.02.2021;
602;81;251;602;4734;04.05.2020;
603;47;50;603;9239;14.03.2021;
604;46;105;604;6482;14.07.2020;
605;13;446;605;9130;01.03.2021;
606;39;426;606;1860;16.10.2020;
607;17;11;607;9043;29.11.2020;
608;8;167;608;5209;29.10.2020;
609;69;301;609;1720;07.05.2020;
610;15;298;610;7564;18.03.2021;
611;29;221;611;1322;19.02.2021;
612;8;64;612;2217;02.09.2020;
613;12;353;613;2508;07.11.2020;
614;41;24;614;6005;10.05.2020;
615;35;418;615;7042;23.02.2021;
616;72;250;616;5150;08.03.2021;
617;68;148;617;6950;07.11.2020;
618;64;54;618;1522;25.09.2020;
619;70;236;619;6156;24.06.2020;
620;48;239;620;1915;07.02.2021;
621;41;78;621;8263;05.09.2020;
622;77;482;622;4831;11.03.2021;
623;74;495;623;1553;18.08.2020;
624;52;475;624;3002;12.12.2020;
625;15;485;625;8342;29.03.2021;
626;86;243;626;4392;09.08.2020;
627;80;449;627;2582;01.10.2020;
628;24;115;628;1878;06.04.2021;
629;26;400;629;860;03.12.2020;
630;94;86;630;702;25.07.2020;
631;9;51;631;343;29.03.2021;
632;80;178;632;8735;07.09.2020;
633;35;286;633;9684;17.07.2020;
634;4;314;634;5065;18.05.2020;
635;62;132;635;9047;07.07.2020;
636;31;105;636;2111;26.12.2020;
637;45;456;637;568;19.09.2020;
638;67;450;638;4718;29.11.2020;
639;68;371;639;1470;27.10.2020;
640;80;407;640;8006;13.03.2021;
641;49;28;641;4606;26.07.2020;
642;3;196;642;6970;12.07.2020;
643;45;431;643;5386;24.12.2020;
644;92;339;644;1810;23.11.2020;
645;71;198;645;4918;07.10.2020;
646;87;205;646;7833;16.07.2020;
647;31;75;647;7334;29.03.2021;
648;12;440;648;4246;25.04.2021;
649;85;165;649;2093;10.12.2020;
650;64;381;650;9798;17.02.2021;
651;64;155;651;4979;25.05.2020;
652;9;195;652;1171;28.05.2020;
653;63;336;653;3400;13.07.2020;
654;35;373;654;1001;06.07.2020;
655;10;342;655;5945;23.05.2020;
656;54;485;656;986;09.10.2020;
657;28;125;657;9015;15.03.2021;
658;48;406;658;8456;01.12.2020;
659;32;24;659;5854;29.06.2020;
660;66;134;660;3604;10.11.2020;
661;38;258;661;3639;21.04.2021;
662;6;263;662;303;18.01.2021;
663;87;483;663;180;17.01.2021;
664;93;466;664;8439;08.11.2020;
665;73;182;665;9378;30.01.2021;
666;58;62;666;3249;21.08.2020;
667;11;258;667;2794;28.12.2020;
668;79;46;668;2152;21.09.2020;
669;79;222;669;644;25.05.2020;
670;50;341;670;317;12.09.2020;
671;24;71;671;7136;22.09.2020;
672;54;203;672;1456;15.04.2021;
673;54;219;673;9126;29.12.2020;
674;21;45;674;4415;06.01.2021;
675;16;93;675;7048;05.04.2021;
676;64;63;676;352;15.02.2021;
677;71;92;677;745;24.10.2020;
678;25;397;678;1786;18.09.2020;
679;4;151;679;4255;21.12.2020;
680;24;341;680;8950;19.08.2020;
681;98;142;681;6026;26.11.2020;
682;4;55;682;6628;03.10.2020;
683;99;144;683;3492;12.07.2020;
684;75;92;684;3280;02.03.2021;
685;71;55;685;1549;09.08.2020;
686;81;378;686;8560;08.06.2020;
687;54;100;687;9157;28.03.2021;
688;68;480;688;3586;25.03.2021;
689;49;295;689;5792;20.06.2020;
690;35;267;690;7371;24.03.2021;
691;24;163;691;8774;27.07.2020;
692;4;400;692;4347;12.01.2021;
693;12;420;693;1124;12.01.2021;
694;56;203;694;7355;10.07.2020;
695;32;9;695;6741;10.11.2020;
696;97;236;696;6852;29.03.2021;
697;26;367;697;5172;26.02.2021;
698;22;18;698;9255;02.05.2020;
699;61;21;699;8954;07.08.2020;
700;8;441;700;9075;19.11.2020;
701;80;315;701;2756;24.12.2020;
702;59;465;702;7078;12.02.2021;
703;55;439;703;4789;19.12.2020;
704;66;284;704;4447;25.06.2020;
705;15;267;705;5873;03.05.2020;
706;67;452;706;8862;08.07.2020;
707;78;286;707;4711;11.12.2020;
708;13;121;708;8748;11.07.2020;
709;17;166;709;9352;07.08.2020;
710;88;218;710;5398;20.04.2021;
711;82;86;711;1410;03.04.2021;
712;23;73;712;3308;13.03.2021;
713;54;25;713;6658;20.10.2020;
714;94;80;714;5877;26.05.2020;
715;25;438;715;6762;05.02.2021;
716;82;175;716;241;14.02.2021;
717;26;386;717;7277;17.05.2020;
718;48;92;718;8479;22.03.2021;
719;1;170;719;3605;10.08.2020;
720;46;431;720;6027;16.03.2021;
721;68;65;721;7204;28.10.2020;
722;88;405;722;1398;06.01.2021;
723;9;264;723;5386;10.08.2020;
724;35;57;724;432;06.08.2020;
725;81;45;725;2255;04.10.2020;
726;51;310;726;8485;20.02.2021;
727;84;273;727;2733;16.11.2020;
728;61;493;728;3848;11.06.2020;
729;92;271;729;6436;09.09.2020;
730;28;33;730;499;09.08.2020;
731;50;160;731;9248;24.02.2021;
732;97;241;732;2210;17.05.2020;
733;2;199;733;2472;22.02.2021;
734;24;485;734;4404;24.09.2020;
735;4;249;735;7103;06.11.2020;
